iter	Passed	Remaining
0	0	67
1	1	64
2	1	61
3	2	58
4	3	57
5	3	55
6	4	54
7	4	53
8	5	53
9	5	52
10	6	51
11	6	51
12	7	50
13	8	49
14	8	48
15	9	48
16	9	47
17	10	47
18	10	46
19	11	45
20	11	44
21	12	44
22	13	44
23	13	43
24	14	43
25	14	42
26	15	41
27	15	41
28	16	40
29	17	39
30	17	39
31	18	38
32	18	38
33	19	37
34	19	37
35	20	36
36	21	35
37	21	35
38	22	34
39	22	34
40	23	33
41	23	32
42	24	32
43	24	31
44	25	31
45	26	30
46	26	30
47	27	29
48	27	28
49	28	28
50	28	27
51	29	27
52	30	26
53	30	26
54	31	25
55	31	25
56	32	24
57	33	24
58	33	23
59	34	22
60	34	22
61	35	21
62	35	21
63	36	20
64	37	19
65	37	19
66	38	18
67	38	18
68	39	17
69	39	17
70	40	16
71	41	15
72	41	15
73	42	14
74	42	14
75	43	13
76	43	13
77	44	12
78	45	12
79	45	11
80	46	10
81	47	10
82	47	9
83	48	9
84	48	8
85	49	8
86	50	7
87	50	6
88	51	6
89	51	5
90	52	5
91	52	4
92	53	4
93	54	3
94	54	2
95	55	2
96	55	1
97	56	1
98	57	0
99	57	0
